"","Order_Number","Filing_Date","Payment_Date","Charter","Property_Type","Real_estate","k.u.","Management_ID","LIST_ID","IDENTITY_ID","cast_number","plot_num"
"1","V-27696/2016-702","29.11.2016 13:06:44","06.01.2017 13:37:27","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 3857/8 Královo Pole (souèástí je stavba budova bez èp/èe, garáž)","Královo Pole 611484",46425414010,37962289010,494233702,"611484","3857/8"
"2","V-27838/2016-702","30.11.2016 13:56:18","03.01.2017 13:09:26","Smlouva kupní","BUD","è.e. 108, èást obce Královo Pole, na parcele 4823/5 Královo Pole (souèástí je stavba è.e. 108, èst obce Královo Pole)","Královo Pole 611484",46450896010,37982874010,493538702,"611484","4823/5"
"3","V-28438/2016-702","07.12.2016 11:33:55","06.01.2017 13:39:02","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 8894 Židenice (souèástí je stavba budova bez èp/èe, garáž)","Židenice 611115",46563086010,38445045010,534378702,"611115","8894"
"4","V-28611/2016-702","08.12.2016 12:28:56","13.01.2017 12:14:09","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 2494 Královo Pole (souèástí je stavba budova bez èp/èe, garáž)","Královo Pole 611484",46593022010,38105613010,16575225010,"611484","2494"
"5","V-28637/2016-702","08.12.2016 14:11:47","02.01.2017 08:15:52","Smlouva kupní","BUD","budova bez èp/èe, stavba pro výrobu a skladování, na parcele 299/8 Malomìøice, 299/11 Malomìøice (souèástí je stavba budova bez èp/èe, stavba pro výrobu a skladování)","Malomìøice 612499",46596771010,38109030010,628031702,"612499","0299/8"
"6","V-28654/2016-702","08.12.2016 13:45:58","03.01.2017 07:16:58","Usnesení soudního exekutora o udìlení pøíklepu","BUD","è.e. 1100, èást obce Bystrc, na parcele 1222 Bystrc (souèástí je stavba è.e. 1100, èst obce Bystrc)","Bystrc 611778",46600735010,38113223010,470886702,"611778","1222"
"7","V-28928/2016-702","13.12.2016 09:08:32","05.01.2017 13:36:16","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1718/2 Malomìøice (souèástí je stavba budova bez èp/èe, garáž)","Malomìøice 612499",46651034010,38162744010,657531702,"612499","1718/2"
"8","V-28928/2016-702","13.12.2016 09:08:32","05.01.2017 13:36:16","Smlouva kupní","BUD","budova bez èp/èe, garáž, na parcele 1718/3 Malomìøice (souèástí je stavba budova bez èp/èe, garáž)","Malomìøice 612499",46651034010,38162744010,657533702,"612499","1718/3"
"9","V-28928/2016-702","13.12.2016 09:08:32","05.01.2017 13:36:16","Smlouva kupní","BUD","è.p. 951, èást obce Malomìøice, na parcele 1718/4 Malomìøice (souèástí je stavba è.p. 951, èst obce Malomìøice)","Malomìøice 612499",46651034010,38162744010,504149702,"612499","1718/4"
"10","V-29009/2016-702","13.12.2016 13:30:53","08.02.2017 07:05:38","Smlouva kupní","BUD","budova bez èp/èe, jiná stavba, na parcele 924 Horní Heršpice (souèástí je stavba budova bez èp/èe, jiná stavba)","Horní Heršpice 612065",46661011010,38184607010,480960702,"612065","0924"
